iter	MultiClass	WKappa
0	1.518150032	0.3677466195
1	1.407345676	0.4212778104
2	1.36902364	0.4609786474
3	1.30108055	0.4923896407
4	1.276562734	0.5075603211
5	1.257311638	0.5221862419
6	1.248272195	0.5275518929
7	1.230635291	0.5336922073
8	1.220586956	0.542139249
9	1.21101376	0.5454711971
10	1.20534981	0.5492199457
11	1.203274701	0.5494874753
12	1.198252187	0.5546767043
13	1.192365963	0.5578154905
14	1.18746853	0.5608075585
15	1.184767593	0.5609562973
16	1.172920144	0.561327238
17	1.16865666	0.5643958731
18	1.163541909	0.5682077509
19	1.151524549	0.5687942107
20	1.146567143	0.5710009415
21	1.142123125	0.5708189178
22	1.136657932	0.5718027027
23	1.131102857	0.5723546488
24	1.125042902	0.5724051785
25	1.11557393	0.5707854591
26	1.110040505	0.5720517159
27	1.105450246	0.5720645283
28	1.101430105	0.5749456623
29	1.097864113	0.5763515356
30	1.094385063	0.5782801337
31	1.09197006	0.5812048512
32	1.088260459	0.5826375116
33	1.084175817	0.5864427581
34	1.081194208	0.5870115575
35	1.078349114	0.5897446527
36	1.07381385	0.5916113228
37	1.070733685	0.5916467353
38	1.067570193	0.593074532
39	1.060139024	0.5942052503
40	1.056532562	0.5955811162
41	1.053526206	0.5976313414
42	1.050170863	0.5994113228
43	1.047646649	0.6008859231
44	1.044925604	0.6033503463
45	1.041820193	0.6057417274
46	1.038610054	0.6055820182
47	1.036030237	0.6079945416
48	1.033223659	0.6086113307
49	1.029658533	0.6096540197
50	1.02637346	0.6100680338
51	1.024117118	0.6116623498
52	1.022446535	0.6115966519
53	1.020644718	0.6119227663
54	1.01800455	0.6140211356
55	1.015510442	0.6146484436
56	1.011917316	0.616381707
57	1.00902852	0.6191100581
58	1.007111506	0.6204192494
59	1.005070563	0.6207446495
60	1.0029649	0.6209750417
61	1.000195907	0.62197005
62	0.9965448347	0.6248616764
63	0.993603244	0.6266872032
64	0.9913540302	0.6270487236
65	0.9894794526	0.6274611998
66	0.9886228684	0.6290166941
67	0.9872205951	0.6290314345
68	0.986661273	0.6303176208
69	0.9843445893	0.6311265287
70	0.9817190866	0.6322701323
71	0.9800743091	0.6342652715
72	0.9773851956	0.6341389561
73	0.9756389731	0.6355050763
74	0.9746486736	0.6361834589
75	0.9729434479	0.6368742474
76	0.9705101482	0.6367047977
77	0.9687278419	0.6386436417
78	0.9666518775	0.6400741078
79	0.9631801976	0.6423819165
80	0.9613589769	0.6427612749
81	0.9599350373	0.6434623613
82	0.9591554205	0.6434088449
83	0.9575272203	0.6450325368
84	0.9547915378	0.6460513724
85	0.9521504961	0.6470288793
86	0.9501773725	0.6493405934
87	0.9481533988	0.6499288225
88	0.9460978067	0.6501613996
89	0.9441963709	0.6517183424
90	0.9428126687	0.6525659102
91	0.9407796271	0.6540918945
92	0.9396474783	0.6550372719
93	0.9368871957	0.6565342225
94	0.9332114846	0.6587846842
95	0.9303484283	0.6587268392
96	0.9301646313	0.658712656
97	0.9277712368	0.6599707845
98	0.9253080582	0.6598096168
99	0.923971271	0.6602208692
